t,X,Y,Z,roll,pitch,yaw
-10.000000000,-0.187000000,1.038000000,0.307000000,3.141592654,-0.000000000,1.570796327
-9.900000000,-0.183665925,1.034010000,0.309992500,3.141346235,0.022157055,1.548594541
-9.800000000,-0.180403700,1.030040000,0.312970000,3.140607955,0.044192123,1.526403601
-9.700000000,-0.177213325,1.026090000,0.315932500,3.139378593,0.066094338,1.504202163
-9.600000000,-0.174094800,1.022160000,0.318880000,3.137658048,0.087852861,1.481969230
-9.500000000,-0.171048125,1.018250000,0.321812500,3.135445377,0.109456838,1.459684110
-9.400000000,-0.168073300,1.014360000,0.324730000,3.132738834,0.130895373,1.437326387
-9.300000000,-0.165170325,1.010490000,0.327632500,3.129535910,0.152157493,1.414875894
-9.200000000,-0.162339200,1.006640000,0.330520000,3.125833370,0.173232121,1.392312695
-9.100000000,-0.159579925,1.002810000,0.333392500,3.121627299,0.194108040,1.369617062
-9.000000000,-0.156892500,0.999000000,0.336250000,3.116913141,0.214773871,1.346769474
-8.900000000,-0.154276925,0.995210000,0.339092500,3.111685750,0.235218043,1.323750605
-8.800000000,-0.151733200,0.991440000,0.341920000,3.105939437,0.255428769,1.300541330
-8.700000000,-0.149261325,0.987690000,0.344732500,3.099668025,0.275394018,1.277122735
-8.600000000,-0.146861300,0.983960000,0.347530000,3.092864907,0.295101498,1.253476135
-8.500000000,-0.144533125,0.980250000,0.350312500,3.085523114,0.314538629,1.229583098
-8.400000000,-0.142276800,0.976560000,0.353080000,3.077635381,0.333692528,1.205425481
-8.300000000,-0.140092325,0.972890000,0.355832500,3.069194230,0.352549990,1.180985473
-8.200000000,-0.137979700,0.969240000,0.358570000,3.060192055,0.371097473,1.156245654
-8.100000000,-0.135938925,0.965610000,0.361292500,3.050621217,0.389321089,1.131189054
-8.000000000,-0.133970000,0.962000000,0.364000000,3.040474150,0.407206594,1.105799239
-7.900000000,-0.132072925,0.958410000,0.366692500,3.029743476,0.424739382,1.080060391
-7.800000000,-0.130247700,0.954840000,0.369370000,3.018422135,0.441904488,1.053957420
-7.700000000,-0.128494325,0.951290000,0.372032500,3.006503519,0.458686590,1.027476073
-7.600000000,-0.126812800,0.947760000,0.374680000,2.993981624,0.475070020,1.000603064
-7.500000000,-0.125203125,0.944250000,0.377312500,2.980851213,0.491038778,0.973326217
-7.400000000,-0.123665300,0.940760000,0.379930000,2.967107987,0.506576558,0.945634618
-7.300000000,-0.122199325,0.937290000,0.382532500,2.952748770,0.521666775,0.917518784
-7.200000000,-0.120805200,0.933840000,0.385120000,2.937771700,0.536292604,0.888970835
-7.100000000,-0.119482925,0.930410000,0.387692500,2.922176436,0.550437025,0.859984688
-7.000000000,-0.118232500,0.927000000,0.390250000,2.905964357,0.564082880,0.830556237
-6.900000000,-0.117053925,0.923610000,0.392792500,2.889138779,0.577212935,0.800683563
-6.800000000,-0.115947200,0.920240000,0.395320000,2.871705161,0.589809958,0.770367119
-6.700000000,-0.114912325,0.916890000,0.397832500,2.853671307,0.601856801,0.739609926
-6.600000000,-0.113949300,0.913560000,0.400330000,2.835047565,0.613336493,0.708417760
-6.500000000,-0.113058125,0.910250000,0.402812500,2.815847005,0.624232346,0.676799316
-6.400000000,-0.112238800,0.906960000,0.405280000,2.796085577,0.634528066,0.644766356
-6.300000000,-0.111491325,0.903690000,0.407732500,2.775782244,0.644207871,0.612333839
-6.200000000,-0.110815700,0.900440000,0.410170000,2.754959079,0.653256621,0.579519999
-6.100000000,-0.110211925,0.897210000,0.412592500,2.733641325,0.661659946,0.546346406
-6.000000000,-0.109680000,0.894000000,0.415000000,2.711857407,0.669404382,0.512837964
-5.900000000,-0.109219925,0.890810000,0.417392500,2.689638895,0.676477506,0.479022869
-5.800000000,-0.108831700,0.887640000,0.419770000,2.667020412,0.682868067,0.444932508
-5.700000000,-0.108515325,0.884490000,0.422132500,2.644039484,0.688566115,0.410601304
-5.600000000,-0.108270800,0.881360000,0.424480000,2.620736333,0.693563124,0.376066505
-5.500000000,-0.108098125,0.878250000,0.426812500,2.597153611,0.697852094,0.341367904
-5.400000000,-0.107997300,0.875160000,0.429130000,2.573336079,0.701427658,0.306547525
-5.300000000,-0.107968325,0.872090000,0.431432500,2.549330243,0.704286152,0.271649240
-5.200000000,-0.108011200,0.869040000,0.433720000,2.525183937,0.706425682,0.236718358
-5.100000000,-0.108125925,0.866010000,0.435992500,2.500945884,0.707846163,0.201801173
-5.000000000,-0.108312500,0.863000000,0.438250000,2.476665226,0.708549343,0.166944496
-4.900000000,-0.108570925,0.860010000,0.440492500,2.452391043,0.708538792,0.132195169
-4.800000000,-0.108901200,0.857040000,0.442720000,2.428171883,0.707819884,0.097599583
-4.700000000,-0.109303325,0.854090000,0.444932500,2.404055287,0.706399747,0.063203211
-4.600000000,-0.109777300,0.851160000,0.447130000,2.380087351,0.704287195,0.029050159
-4.500000000,-0.110323125,0.848250000,0.449312500,2.356312320,0.701492641,-0.004817243
-4.400000000,-0.110940800,0.845360000,0.451480000,2.332772218,0.698027991,-0.038358811
-4.300000000,-0.111630325,0.842490000,0.453632500,2.309506534,0.693906532,-0.071536826
-4.200000000,-0.112391700,0.839640000,0.455770000,2.286551962,0.689142797,-0.104316299
-4.100000000,-0.113224925,0.836810000,0.457892500,2.263942193,0.683752429,-0.136665176
-4.000000000,-0.114130000,0.834000000,0.460000000,2.241707774,0.677752041,-0.168554487
-3.900000000,-0.115106925,0.831210000,0.462092500,2.219876013,0.671159067,-0.199958441
-3.800000000,-0.116155700,0.828440000,0.464170000,2.198470949,0.663991621,-0.230854459
-3.700000000,-0.117276325,0.825690000,0.466232500,2.177513364,0.656268353,-0.261223164
-3.600000000,-0.118468800,0.822960000,0.468280000,2.157020842,0.648008313,-0.291048325
-3.500000000,-0.119733125,0.820250000,0.470312500,2.137007868,0.639230822,-0.320316755
-3.400000000,-0.121069300,0.817560000,0.472330000,2.117485961,0.629955349,-0.349018191
-3.300000000,-0.122477325,0.814890000,0.474332500,2.098463827,0.620201402,-0.377145129
-3.200000000,-0.123957200,0.812240000,0.476320000,2.079947539,0.609988420,-0.404692656
-3.100000000,-0.125508925,0.809610000,0.478292500,2.061940725,0.599335687,-0.431658259
-3.000000000,-0.127132500,0.807000000,0.480250000,2.044444772,0.588262249,-0.458041625
-2.900000000,-0.128827925,0.804410000,0.482192500,2.027459025,0.576786842,-0.483844437
-2.800000000,-0.130595200,0.801840000,0.484120000,2.010980995,0.564927833,-0.509070179
-2.700000000,-0.132434325,0.799290000,0.486032500,1.995006557,0.552703168,-0.533723929
-2.600000000,-0.134345300,0.796760000,0.487930000,1.979530142,0.540130329,-0.557812172
-2.500000000,-0.136328125,0.794250000,0.489812500,1.964544926,0.527226303,-0.581342614
-2.400000000,-0.138382800,0.791760000,0.491680000,1.950043000,0.514007556,-0.604324008
-2.300000000,-0.140509325,0.789290000,0.493532500,1.936015538,0.500490011,-0.626765993
-2.200000000,-0.142707700,0.786840000,0.495370000,1.922452944,0.486689036,-0.648678943
-2.100000000,-0.144977925,0.784410000,0.497192500,1.909344995,0.472619440,-0.670073831
-2.000000000,-0.147320000,0.782000000,0.499000000,1.896680964,0.458295467,-0.690962098
-1.900000000,-0.149733925,0.779610000,0.500792500,1.884449737,0.443730798,-0.711355546
-1.800000000,-0.152219700,0.777240000,0.502570000,1.872639912,0.428938557,-0.731266234
-1.700000000,-0.154777325,0.774890000,0.504332500,1.861239894,0.413931318,-0.750706385
-1.600000000,-0.157406800,0.772560000,0.506080000,1.850237974,0.398721115,-0.769688311
-1.500000000,-0.160108125,0.770250000,0.507812500,1.839622399,0.383319458,-0.788224338
-1.400000000,-0.162881300,0.767960000,0.509530000,1.829381433,0.367737340,-0.806326750
-1.300000000,-0.165726325,0.765690000,0.511232500,1.819503411,0.351985260,-0.824007735
-1.200000000,-0.168643200,0.763440000,0.512920000,1.809976785,0.336073232,-0.841279336
-1.100000000,-0.171631925,0.761210000,0.514592500,1.800790161,0.320010808,-0.858153422
-1.000000000,-0.174692500,0.759000000,0.516250000,1.791932332,0.303807090,-0.874641647
-0.900000000,-0.177824925,0.756810000,0.517892500,1.783392304,0.287470749,-0.890755432
-0.800000000,-0.181029200,0.754640000,0.519520000,1.775159316,0.271010044,-0.906505937
-0.700000000,-0.184305325,0.752490000,0.521132500,1.767222862,0.254432837,-0.921904049
-0.600000000,-0.187653300,0.750360000,0.522730000,1.759572699,0.237746611,-0.936960370
-0.500000000,-0.191073125,0.748250000,0.524312500,1.752198858,0.220958486,-0.951685201
-0.400000000,-0.194564800,0.746160000,0.525880000,1.745091656,0.204075238,-0.966088543
-0.300000000,-0.198128325,0.744090000,0.527432500,1.738241693,0.187103310,-0.980180089
-0.200000000,-0.201763700,0.742040000,0.528970000,1.731639857,0.170048832,-0.993969221
-0.100000000,-0.205470925,0.740010000,0.530492500,1.725277328,0.152917633,-1.007465014
-0.000000000,-0.209250000,0.738000000,0.532000000,1.719145572,0.135715256,-1.020676235
0.100000000,-0.213100925,0.736010000,0.533492500,1.713236339,0.118446974,-1.033611345
0.200000000,-0.217023700,0.734040000,0.534970000,1.707541662,0.101117799,-1.046278507
0.300000000,-0.221018325,0.732090000,0.536432500,1.702053849,0.083732498,-1.058685586
0.400000000,-0.225084800,0.730160000,0.537880000,1.696765481,0.066295604,-1.070840157
0.500000000,-0.229223125,0.728250000,0.539312500,1.691669402,0.048811428,-1.082749512
0.600000000,-0.233433300,0.726360000,0.540730000,1.686758717,0.031284069,-1.094420668
0.700000000,-0.237715325,0.724490000,0.542132500,1.682026780,0.013717425,-1.105860367
0.800000000,-0.242069200,0.722640000,0.543520000,1.677467192,-0.003884797,-1.117075094
0.900000000,-0.246494925,0.720810000,0.544892500,1.673073791,-0.021519070,-1.128071075
1.000000000,-0.250992500,0.719000000,0.546250000,1.668840642,-0.039182040,-1.138854291
1.100000000,-0.255561925,0.717210000,0.547592500,1.664762036,-0.056870519,-1.149430481
1.200000000,-0.260203200,0.715440000,0.548920000,1.660832478,-0.074581472,-1.159805153
1.300000000,-0.264916325,0.713690000,0.550232500,1.657046678,-0.092312013,-1.169983592
1.400000000,-0.269701300,0.711960000,0.551530000,1.653399548,-0.110059397,-1.179970862
1.500000000,-0.274558125,0.710250000,0.552812500,1.649886194,-0.127821012,-1.189771822
1.600000000,-0.279486800,0.708560000,0.554080000,1.646501905,-0.145594375,-1.199391124
1.700000000,-0.284487325,0.706890000,0.555332500,1.643242150,-0.163377121,-1.208833229
1.800000000,-0.289559700,0.705240000,0.556570000,1.640102570,-0.181167002,-1.218102407
1.900000000,-0.294703925,0.703610000,0.557792500,1.637078971,-0.198961879,-1.227202746
2.000000000,-0.299920000,0.702000000,0.559000000,1.634167317,-0.216759719,-1.236138161
2.100000000,-0.305207925,0.700410000,0.560192500,1.631363725,-0.234558584,-1.244912397
2.200000000,-0.310567700,0.698840000,0.561370000,1.628664459,-0.252356634,-1.253529036
2.300000000,-0.315999325,0.697290000,0.562532500,1.626065923,-0.270152118,-1.261991505
2.400000000,-0.321502800,0.695760000,0.563680000,1.623564656,-0.287943371,-1.270303077
2.500000000,-0.327078125,0.694250000,0.564812500,1.621157326,-0.305728807,-1.278466883
2.600000000,-0.332725300,0.692760000,0.565930000,1.618840727,-0.323506920,-1.286485913
2.700000000,-0.338444325,0.691290000,0.567032500,1.616611768,-0.341276278,-1.294363021
2.800000000,-0.344235200,0.689840000,0.568120000,1.614467477,-0.359035520,-1.302100931
2.900000000,-0.350097925,0.688410000,0.569192500,1.612404988,-0.376783350,-1.309702243
3.000000000,-0.356032500,0.687000000,0.570250000,1.610421542,-0.394518538,-1.317169436
3.100000000,-0.362038925,0.685610000,0.571292500,1.608514480,-0.412239916,-1.324504873
3.200000000,-0.368117200,0.684240000,0.572320000,1.606681238,-0.429946373,-1.331710804
3.300000000,-0.374267325,0.682890000,0.573332500,1.604919348,-0.447636853,-1.338789371
3.400000000,-0.380489300,0.681560000,0.574330000,1.603226427,-0.465310355,-1.345742614
3.500000000,-0.386783125,0.680250000,0.575312500,1.601600179,-0.482965929,-1.352572470
3.600000000,-0.393148800,0.678960000,0.576280000,1.600038389,-0.500602671,-1.359280781
3.700000000,-0.399586325,0.677690000,0.577232500,1.598538919,-0.518219726,-1.365869295
3.800000000,-0.406095700,0.676440000,0.578170000,1.597099707,-0.535816282,-1.372339669
3.900000000,-0.412676925,0.675210000,0.579092500,1.595718762,-0.553391570,-1.378693475
4.000000000,-0.419330000,0.674000000,0.580000000,1.594394162,-0.570944859,-1.384932200
4.100000000,-0.426054925,0.672810000,0.580892500,1.593124051,-0.588475460,-1.391057249
4.200000000,-0.432851700,0.671640000,0.581770000,1.591906636,-0.605982719,-1.397069952
4.300000000,-0.439720325,0.670490000,0.582632500,1.590740183,-0.623466016,-1.402971560
4.400000000,-0.446660800,0.669360000,0.583480000,1.589623018,-0.640924767,-1.408763252
4.500000000,-0.453673125,0.668250000,0.584312500,1.588553522,-0.658358420,-1.414446138
4.600000000,-0.460757300,0.667160000,0.585130000,1.587530127,-0.675766450,-1.420021259
4.700000000,-0.467913325,0.666090000,0.585932500,1.586551318,-0.693148367,-1.425489590
4.800000000,-0.475141200,0.665040000,0.586720000,1.585615630,-0.710503704,-1.430852041
4.900000000,-0.482440925,0.664010000,0.587492500,1.584721641,-0.727832024,-1.436109463
5.000000000,-0.489812500,0.663000000,0.588250000,1.583867976,-0.745132913,-1.441262645
5.100000000,-0.497255925,0.662010000,0.588992500,1.583053304,-0.762405984,-1.446312321
5.200000000,-0.504771200,0.661040000,0.589720000,1.582276333,-0.779650871,-1.451259167
5.300000000,-0.512358325,0.660090000,0.590432500,1.581535811,-0.796867232,-1.456103806
5.400000000,-0.520017300,0.659160000,0.591130000,1.580830524,-0.814054744,-1.460846808
5.500000000,-0.527748125,0.658250000,0.591812500,1.580159293,-0.831213107,-1.465488694
5.600000000,-0.535550800,0.657360000,0.592480000,1.579520976,-0.848342038,-1.470029934
5.700000000,-0.543425325,0.656490000,0.593132500,1.578914460,-0.865441273,-1.474470951
5.800000000,-0.551371700,0.655640000,0.593770000,1.578338667,-0.882510565,-1.478812125
5.900000000,-0.559389925,0.654810000,0.594392500,1.577792548,-0.899549686,-1.483053787
6.000000000,-0.567480000,0.654000000,0.595000000,1.577275082,-0.916558420,-1.487196228
6.100000000,-0.575641925,0.653210000,0.595592500,1.576785278,-0.933536568,-1.491239697
6.200000000,-0.583875700,0.652440000,0.596170000,1.576322168,-0.950483947,-1.495184401
6.300000000,-0.592181325,0.651690000,0.596732500,1.575884813,-0.967400384,-1.499030509
6.400000000,-0.600558800,0.650960000,0.597280000,1.575472295,-0.984285721,-1.502778152
6.500000000,-0.609008125,0.650250000,0.597812500,1.575083720,-1.001139812,-1.506427425
6.600000000,-0.617529300,0.649560000,0.598330000,1.574718216,-1.017962523,-1.509978386
6.700000000,-0.626122325,0.648890000,0.598832500,1.574374932,-1.034753728,-1.513431059
6.800000000,-0.634787200,0.648240000,0.599320000,1.574053036,-1.051513315,-1.516785435
6.900000000,-0.643523925,0.647610000,0.599792500,1.573751716,-1.068241180,-1.520041474
7.000000000,-0.652332500,0.647000000,0.600250000,1.573470177,-1.084937228,-1.523199103
7.100000000,-0.661212925,0.646410000,0.600692500,1.573207643,-1.101601372,-1.526258218
7.200000000,-0.670165200,0.645840000,0.601120000,1.572963350,-1.118233534,-1.529218689
7.300000000,-0.679189325,0.645290000,0.601532500,1.572736554,-1.134833643,-1.532080355
7.400000000,-0.688285300,0.644760000,0.601930000,1.572526523,-1.151401636,-1.534843030
7.500000000,-0.697453125,0.644250000,0.602312500,1.572332540,-1.167937456,-1.537506500
7.600000000,-0.706692800,0.643760000,0.602680000,1.572153899,-1.184441050,-1.540070526
7.700000000,-0.716004325,0.643290000,0.603032500,1.571989907,-1.200912374,-1.542534846
7.800000000,-0.725387700,0.642840000,0.603370000,1.571839885,-1.217351388,-1.544899173
7.900000000,-0.734842925,0.642410000,0.603692500,1.571703161,-1.233758055,-1.547163197
8.000000000,-0.744370000,0.642000000,0.604000000,1.571579075,-1.250132345,-1.549326588
8.100000000,-0.753968925,0.641610000,0.604292500,1.571466977,-1.266474231,-1.551388994
8.200000000,-0.763639700,0.641240000,0.604570000,1.571366223,-1.282783689,-1.553350044
8.300000000,-0.773382325,0.640890000,0.604832500,1.571276180,-1.299060699,-1.555209347
8.400000000,-0.783196800,0.640560000,0.605080000,1.571196220,-1.315305245,-1.556966493
8.500000000,-0.793083125,0.640250000,0.605312500,1.571125725,-1.331517312,-1.558621057
8.600000000,-0.803041300,0.639960000,0.605530000,1.571064079,-1.347696887,-1.560172595
8.700000000,-0.813071325,0.639690000,0.605732500,1.571010676,-1.363843962,-1.561620649
8.800000000,-0.823173200,0.639440000,0.605920000,1.570964910,-1.379958528,-1.562964746
8.900000000,-0.833346925,0.639210000,0.606092500,1.570926185,-1.396040578,-1.564204397
9.000000000,-0.843592500,0.639000000,0.606250000,1.570893904,-1.412090109,-1.565339103
9.100000000,-0.853909925,0.638810000,0.606392500,1.570867476,-1.428107116,-1.566368349
9.200000000,-0.864299200,0.638640000,0.606520000,1.570846313,-1.444091596,-1.567291613
9.300000000,-0.874760325,0.638490000,0.606632500,1.570829827,-1.460043547,-1.568108359
9.400000000,-0.885293300,0.638360000,0.606730000,1.570817433,-1.475962968,-1.568818042
9.500000000,-0.895898125,0.638250000,0.606812500,1.570808548,-1.491849858,-1.569420110
9.600000000,-0.906574800,0.638160000,0.606880000,1.570802588,-1.507704216,-1.569913999
9.700000000,-0.917323325,0.638090000,0.606932500,1.570798970,-1.523526042,-1.570299143
9.800000000,-0.928143700,0.638040000,0.606970000,1.570797111,-1.539315336,-1.570574966
9.900000000,-0.939035925,0.638010000,0.606992500,1.570796425,-1.555072097,-1.570740889
10.000000000,-0.950000000,0.638000000,0.607000000,1.570796327,-1.570796327,0.000000000
